,coddpto,departamento,codmunicipio,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_tha,Precipitación mm,Humedad %,Temperatura°C
0,13,Bolívar,"13,006",achi,aguacate,2016,80.0,80.0,960.0,12.0,5049.5,90.0,30.0
1,13,Bolívar,"13,006",achi,ahuyama,2016,15.0,15.0,225.0,15.0,5049.5,90.0,30.0
2,13,Bolívar,"13,006",achi,ahuyama,2016,50.0,25.0,300.0,12.0,5049.5,90.0,30.0
3,13,Bolívar,"13,006",achi,arroz riego,2016,861.0,600.0,2700.0,4.5,5049.5,90.0,30.0
4,13,Bolívar,"13,006",achi,arroz riego,2016,600.0,600.0,3000.0,5.0,5049.5,90.0,30.0
5,13,Bolívar,"13,006",achi,arroz secano manual,2016,1200.0,900.0,2250.0,2.5,5049.5,90.0,30.0
6,13,Bolívar,"13,006",achi,arroz secano manual,2016,1200.0,900.0,1800.0,2.0,5049.5,90.0,30.0
7,13,Bolívar,"13,006",achi,arroz secano mecanizado,2016,7000.0,3100.0,12090.0,3.9,5049.5,90.0,30.0
8,13,Bolívar,"13,006",achi,arroz secano mecanizado,2016,3500.0,1700.0,5950.0,3.5,5049.5,90.0,30.0
9,13,Bolívar,"13,006",achi,cacao,2016,35.0,35.0,18.0,0.5,5049.5,90.0,30.0
10,13,Bolívar,"13,006",achi,caña,2016,30.0,30.0,300.0,10.0,5049.5,90.0,30.0
11,13,Bolívar,"13,006",achi,maiz tradicional,2016,2000.0,1800.0,4500.0,2.5,5049.5,90.0,30.0
12,13,Bolívar,"13,006",achi,maiz tradicional,2016,1500.0,1300.0,2600.0,2.0,5049.5,90.0,30.0
13,13,Bolívar,"13,006",achi,patilla,2016,30.0,20.0,300.0,15.0,5049.5,90.0,30.0
14,13,Bolívar,"13,006",achi,patilla,2016,50.0,25.0,350.0,14.0,5049.5,90.0,30.0
15,13,Bolívar,"13,006",achi,platano,2016,400.0,400.0,1600.0,4.0,5049.5,90.0,30.0
