,CodigoEstacion,Categoria,Entidad,Departamento,Municipio,IdParametro,Etiqueta,Frecuencia,Fecha,Valor,Grado,Año
0,25025100,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Magangue,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1072.5,4,2016
1,25025100,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Magangue,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,1557.0,50,2017
2,25025100,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Magangue,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1511.9,50,2018
3,25025100,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Magangue,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1114.3,50,2019
4,25025100,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Magangue,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1395.3,50,2020
5,14015080,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Cartagena De Indias,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1264.12,50,2016
6,14015080,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Cartagena De Indias,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,960.9,50,2017
7,14015080,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Cartagena De Indias,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,746.7,50,2018
8,14015080,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Cartagena De Indias,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,684.1,50,2019
9,14015080,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Cartagena De Indias,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,949.7,50,2020
10,25021540,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Martin De Loba,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,2199.0,4,2017
11,25021540,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Martin De Loba,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,2131.1,50,2018
12,25021540,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Martin De Loba,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1827.0,4,2019
13,25021540,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Martin De Loba,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,2247.0,50,2020
14,25020970,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arenal,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1682.4,50,2016
15,25020970,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arenal,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,1731.2,50,2017
16,25020970,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arenal,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1457.4,50,2018
17,25020970,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arenal,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1263.1,50,2019
18,25020970,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arenal,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1506.2,50,2020
19,29030040,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1931.0,50,2016
20,29030040,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,2088.0,50,2017
21,29030040,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,2205.0,4,2018
22,29030040,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1664.0,50,2019
23,29030040,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,2327.0,50,2020
24,25020810,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto Del Cauca,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,4586.9,4,2016
25,25020810,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto Del Cauca,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,3921.0,50,2017
26,25020810,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto Del Cauca,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,4843.0,50,2018
27,25020810,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto Del Cauca,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,4598.0,50,2019
